cano_smiles,MW,TPSA,HBD,HBA,Water Solubility
CC(=O)NC(C=O)C(O)C(O)C(O)CO,221.209,127.09000000000002,5,6,148.0
NC(CCC(=O)O)C(=O)O,147.13,100.62000000000002,3,3,80.6
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,307.32800000000003,158.82,6,6,0.879
NCC(=O)O,75.067,63.32000000000001,2,2,552.0
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,400.6470000000002,40.46,2,2,0.0022
Cc1ncc(CO)c(C=O)c1O,167.164,70.42,2,4,11.7
CN(CC(=O)O)C(=N)N,131.13499999999996,90.41,3,2,4.11
CC(C)CC(N)C(=O)O,131.175,63.32000000000001,2,2,69.8
NC(Cc1c[nH]c2ccccc12)C(=O)O,204.229,79.11,3,2,1.36
NC(CS)C(=O)O,121.16099999999996,63.32000000000001,3,3,23.1
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,265.362,75.91,2,5,0.0153
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,396.6590000000001,20.23,1,1,0.000433
CCCCCC=CCC=CCC=CCCCCCCC(=O)O,306.49,37.3,1,1,7.71e-05
NC(=O)NCCCC(N)C(=O)O,175.188,118.44,4,3,21.8
CC(O)C(N)C(=O)O,119.12,83.55,3,3,477.0
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1,665.4460000000005,317.62000000000006,8,18,2.95
Nc1nc2ncc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)nc2c(=O)[nH]1,441.40400000000017,213.27999999999997,6,9,0.0761
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,302.458,37.3,1,1,0.000289
CC(N)C(=O)O,89.09399999999998,63.32000000000001,2,2,447.0
CC(C)C(N)C(=O)O,117.14799999999998,63.32000000000001,2,2,214.0
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,286.45900000000006,20.23,1,1,0.00758
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,430.7170000000003,29.46,1,2,7.04e-06
Cc1ncc(CO)c(CO)c1O,169.18,73.58000000000001,3,4,16.1
O=C(O)CCCCC1CCSS1,206.332,37.3,1,3,0.224
CCC(C)C(N)C(=O)O,131.175,63.32000000000001,2,2,114.0
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O,294.307,118.72,3,5,0.652
CC1=CC(=O)c2ccccc2C1=O,172.18299999999996,34.14,0,2,0.504
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,507.1820000000001,279.13,7,14,4.49
O=C(O)C1CCCN1,115.13200000000002,49.33,2,2,365.0
Nc1ncnc2nc[nH]c12,135.13,80.47999999999999,2,4,11.5
NC(=O)CC(N)C(=O)O,132.119,106.41,3,3,168.0
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,424.5340000000002,124.29,4,6,0.242
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,318.339,56.84,1,4,0.00734
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,435.5280000000001,112.07,2,5,0.0234
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,416.5180000000003,95.94,2,5,0.039
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,302.37,80.92,4,4,0.0136
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,434.50400000000025,93.06,2,6,0.0374
NCC(CC(=O)O)c1ccc(Cl)cc1,213.664,63.32000000000001,2,2,0.712
CC(N)Cc1ccccc1,135.20999999999998,26.02,1,1,1.74
CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,767.9060000000002,250.91,8,9,0.00261
CN1CCCC1c1cccnc1,162.236,16.130000000000003,0,2,93.3
CC1OC2(CS1)CN1CCC2CC1,199.31899999999996,12.47,0,3,2.41
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,321.163,61.69,2,3,0.0176
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,295.379,67.79,2,5,0.144
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O,384.24500000000006,124.44,4,6,0.0532
C#CC(O)(C=CCl)CC,144.60099999999997,20.23,1,1,0.143
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,226.232,115.81000000000002,5,5,3.73
CC(C)(N)Cc1ccccc1,149.237,26.02,1,1,0.757
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,308.425,55.12,2,2,0.000896
COc1cccc(C2(O)CCCCC2CN(C)C)c1,263.3809999999999,32.7,1,3,0.75
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,267.245,139.54000000000002,4,9,14.0
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,307.434,50.72,2,4,0.0298
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,306.276,81.64999999999999,1,7,1.39
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,441.54900000000015,84.86,2,6,0.00121
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,312.41,90.65,2,5,0.686
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,733.9370000000002,193.91,5,14,0.459
Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.194,61.82,0,6,11.0
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,290.404,52.60000000000001,0,4,0.000757
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,474.5870000000004,113.42,1,8,0.46
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,441.57500000000016,104.81,2,6,0.0198
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,248.71700000000004,77.82,2,4,0.179
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,608.6880000000004,117.78000000000004,1,10,0.0113
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,748.9960000000001,180.08,5,14,0.514
Clc1ccccc1CN1CCc2sccc2C1,263.793,3.24,0,2,0.0219
O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1,392.519,46.53,1,3,6.68e-05
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,412.5290000000003,46.53,1,2,4.01e-06
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,254.286,93.81,3,5,4.45
CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC1CCCCC1)C(O)C(O)C1CC1,630.8520000000002,161.47999999999996,5,7,0.0213
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,383.376,86.33,1,6,0.495
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,348.4280000000001,100.19,3,5,0.0596
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,324.39900000000006,36.26,0,3,0.00588
CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,382.5290000000001,53.17,1,3,0.00118
CN=C(NC)NCc1ccccc1,177.251,36.42,2,1,1.58
COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,401.4380000000002,83.80000000000001,2,6,0.168
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,348.50700000000023,46.53,1,3,0.000136
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,567.7960000000003,101.9,4,6,0.00191
CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,239.315,72.72,4,4,3.18
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O,490.6260000000003,124.68,3,5,0.0384
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,410.4570000000002,94.83,3,5,0.0853
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,613.8030000000003,118.03000000000002,4,7,0.0482
NC(N)=NCC1COC2(CCCCC2)O1,213.28099999999992,82.86000000000001,2,3,1.93
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,404.54700000000025,72.83,1,5,0.0243
FC(F)OC(F)(F)C(F)Cl,184.491,9.23,0,1,3.9
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,525.6420000000002,172.45999999999998,3,13,1.29
CC(C)CC(CN)CC(=O)O,159.229,63.32000000000001,2,2,11.3
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,300.74500000000006,52.900000000000006,1,3,0.0534
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,360.2440000000001,109.57,2,5,0.824
Nc1ccc(C(=O)O)c(O)c1,153.137,83.55000000000001,3,3,11.8
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,313.39700000000005,39.72,1,4,0.0223
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,211.224,69.53999999999999,1,3,0.209
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,356.058,40.620000000000005,0,2,2.24
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,212.249,75.27000000000001,2,3,1.39
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,266.30400000000003,58.120000000000005,1,4,0.105
Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,429.1340000000001,39.41,0,4,0.00191
CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,408.9220000000002,94.83,3,5,0.137
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,224.26,75.27000000000001,2,3,2.23
Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,285.69100000000003,119.31000000000002,3,8,6.35
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,427.5450000000002,74.27,2,6,0.11
Nc1ccc(O)c(C(=O)O)c1,153.137,83.55,3,3,12.2
CN1C2CCC1CC(OC(c1ccccc1)c1ccccc1)C2,307.43700000000007,12.47,0,2,0.00121
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,412.9460000000002,48.470000000000006,1,5,0.00718
CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,353.4660000000001,57.5,2,4,0.224
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,451.6150000000002,71.68,2,4,0.064
